20250701 102300;22832;22832.25;22827.75;22828.75;72
20250701 102400;22828;22829;22827.75;22828.5;36
20250701 102500;22828;22832;22828;22831.5;45
20250701 102600;22831.75;22832.75;22830.25;22831.25;20
20250701 102700;22831;22831;22828;22828.5;44
20250701 102800;22828.5;22831;22828;22830.75;43
20250701 102900;22829.75;22830.25;22827.75;22828;28
20250701 103000;22828.25;22829.5;22827;22827.25;23
20250701 103100;22826.75;22830.25;22826.5;22829;28
20250701 103200;22828.75;22829;22827;22827;24
20250701 103300;22827.75;22828.75;22827;22828.5;33
20250701 103400;22828;22828;22826.25;22826.5;11
20250701 103500;22827.5;22828;22827;22827;14
20250701 103600;22827.75;22828.75;22825.25;22826;43
20250701 103700;22826.5;22830.25;22825;22829.5;70
20250701 103800;22829.5;22832.75;22829.5;22832;52
20250701 103900;22831.5;22832.5;22831.25;22831.25;17
20250701 104000;22831;22832.5;22830;22831.25;38
20250701 104100;22832;22832.25;22827;22829.5;64
20250701 104200;22829.5;22833;22829.25;22831.25;106
20250701 104300;22831.25;22831.5;22829;22829;26
20250701 104400;22829;22829.5;22828.25;22829;15
20250701 104500;22829;22830.25;22828;22828.5;38
20250701 104600;22829;22832;22829;22831.5;39
20250701 104700;22831.25;22831.25;22828.5;22828.5;22
20250701 104800;22829.75;22830.5;22829.25;22829.5;19
20250701 104900;22830;22830.25;22828;22829.5;39
20250701 105000;22830.25;22831;22828.75;22828.75;24
20250701 105100;22829.25;22832.5;22829;22830.75;49
20250701 105200;22830.5;22832;22830.5;22831.5;24
20250701 105300;22832.25;22833.25;22831.75;22831.75;45
20250701 105400;22831.25;22831.5;22830;22831.5;38
20250701 105500;22831.25;22831.25;22829;22829.25;22
20250701 105600;22829;22830;22826.25;22829.75;77
20250701 105700;22830.25;22831.5;22830.25;22831;32
20250701 105800;22830.5;22833.75;22830;22833.5;45
20250701 105900;22834;22834;22831.5;22832.5;41
20250701 110000;22832.75;22839.25;22832.75;22838.5;145
20250701 110100;22837.75;22845.75;22837.5;22843.25;281
20250701 110200;22842.75;22845.5;22840.25;22844.5;166
20250701 110300;22845.5;22848.5;22845.25;22846.75;85
20250701 110400;22847.25;22848.25;22844.75;22845.75;94
20250701 110500;22845.75;22848.25;22845.25;22845.25;53
20250701 110600;22845;22846.25;22841.25;22843.5;131
